unitid,"xf2a01",f2a01,"xf2a02",f2a02,"xf2a03",f2a03,"xf2a04",f2a04,"xf2a05",f2a05,"xf2a06",f2a06,"xf2a11",f2a11,"xf2a12",f2a12,"xf2a13",f2a13,"xf2a14",f2a14,"xf2b01",f2b01,"xf2b02",f2b02,"xf2b03",f2b03,"xf2b04",f2b04,"xf2b05",f2b05,"xf2b06",f2b06,"xf2b07",f2b07,"xf2c01",f2c01,"xf2c02",f2c02,"xf2c03",f2c03,"xf2c04",f2c04,"xf2c05",f2c05,"xf2c06",f2c06,"xf2c07",f2c07,"xf2c08",f2c08,"xf2c09",f2c09,"xf2d01",f2d01,"xf2d02",f2d02,"xf2d03",f2d03,"xf2d04",f2d04,"xf2d05",f2d05,"xf2d06",f2d06,"xf2d07",f2d07,"xf2d08",f2d08,"xf2d09",f2d09,"xf2d10",f2d10,"xf2d11",f2d11,"xf2d12",f2d12,"xf2d13",f2d13,"xf2d14",f2d14,"xf2d15",f2d15,"xf2d16",f2d16,"xf2e011",f2e011,"xf2e012",f2e012,"xf2e013",f2e013,"xf2e014",f2e014,"xf2e015",f2e015,"xf2e016",f2e016,"xf2e017",f2e017,"xf2e021",f2e021,"xf2e022",f2e022,"xf2e023",f2e023,"xf2e024",f2e024,"xf2e025",f2e025,"xf2e026",f2e026,"xf2e027",f2e027,"xf2e031",f2e031,"xf2e032",f2e032,"xf2e033",f2e033,"xf2e034",f2e034,"xf2e035",f2e035,"xf2e036",f2e036,"xf2e037",f2e037,"xf2e041",f2e041,"xf2e042",f2e042,"xf2e043",f2e043,"xf2e044",f2e044,"xf2e045",f2e045,"xf2e046",f2e046,"xf2e047",f2e047,"xf2e051",f2e051,"xf2e052",f2e052,"xf2e053",f2e053,"xf2e054",f2e054,"xf2e055",f2e055,"xf2e056",f2e056,"xf2e057",f2e057,"xf2e061",f2e061,"xf2e062",f2e062,"xf2e063",f2e063,"xf2e064",f2e064,"xf2e065",f2e065,"xf2e066",f2e066,"xf2e067",f2e067,"xf2e071",f2e071,"xf2e072",f2e072,"xf2e073",f2e073,"xf2e074",f2e074,"xf2e075",f2e075,"xf2e076",f2e076,"xf2e077",f2e077,"xf2e081",f2e081,"xf2e082",f2e082,"xf2e083",f2e083,"xf2e084",f2e084,"xf2e085",f2e085,"xf2e086",f2e086,"xf2e087",f2e087,"xf2e091",f2e091,"xf2e092",f2e092,"xf2e093",f2e093,"xf2e094",f2e094,"xf2e095",f2e095,"xf2e096",f2e096,"xf2e097",f2e097,"xf2e101",f2e101,"xf2e102",f2e102,"xf2e103",f2e103,"xf2e104",f2e104,"xf2e105",f2e105,"xf2e106",f2e106,"xf2e107",f2e107,"xf2e111",f2e111,"xf2e112",f2e112,"xf2e113",f2e113,"xf2e114",f2e114,"xf2e115",f2e115,"xf2e116",f2e116,"xf2e117",f2e117,"xf2e121",f2e121,"xf2e122",f2e122,"xf2e123",f2e123,"xf2e124",f2e124,"xf2e125",f2e125,"xf2e126",f2e126,"xf2e127",f2e127,"xf2e131",f2e131,"xf2e132",f2e132,"xf2e133",f2e133,"xf2e134",f2e134,"xf2e135",f2e135,"xf2e136",f2e136,"xf2e137",f2e137,"xf2h01",f2h01,"xf2h02",f2h02,f2fha
100690,"R",542542,"R",3434166,"R",1441263,"R",1818398,"R",174505,"R",1992903,"R",540979,"R",1028166,"R",2091687,"Z",0,"R",5074263,"R",4908469,"R",0,"R",165794,"R",1827109,"R",0,"R",1992903,"R",492911,"R",23093,"Z",0,"Z",0,"R",0,"R",1789712,"R",2305716,"R",1789712,"Z",0,"R",4049814,"Z",0,"Z",0,"Z",0,"R",44223,"Z",0,"Z",0,"R",931089,"Z",0,"R",11823,"Z",0,"Z",0,"Z",0,"Z",0,"R",37314,"R",5074263,"R",2024775,"R",734466,"R",119276,"R",160535,"Z",0,"Z",0,"R",1010498,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",193056,"R",146283,"R",8664,"R",10946,"Z",0,"Z",0,"R",27163,"R",644530,"R",331086,"R",31548,"R",40134,"Z",0,"Z",0,"R",241762,"R",2046108,"R",345704,"R",266427,"R",153238,"R",156631,"R",40294,"R",1083814,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",-364853,"Z",0,"Z",0,"R",364853,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4908469,"R",1557539,"R",425915,"Z",0,"R",156631,"R",40294,"R",2728090,"Z",0,"Z",0,1
100937,"R",107109867,"R",239822495,"R",55945258,"R",84161724,"R",99715513,"R",183877237,"R",2389079,"R",103530637,"R",39862246,"R",0,"R",46817543,"R",45603744,"R",0,"R",1213799,"R",182663438,"R",0,"R",183877237,"R",445797,"R",139349,"R",811900,"R",1591222,"R",3204602,"R",8152894,"R",14345764,"R",11357495,"Z",0,"R",12528439,"R",0,"R",0,"R",0,"R",1030326,"R",850642,"R",32377,"R",24768261,"Z",0,"R",-1198868,"R",7207141,"Z",0,"Z",0,"Z",0,"R",1599225,"R",46817543,"R",14526482,"R",7576349,"R",2139708,"R",1196363,"R",1814834,"R",645741,"R",1153487,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",3116888,"R",757251,"R",94607,"R",276172,"R",418941,"R",149065,"R",1420852,"R",8570261,"R",2803363,"R",729501,"R",786207,"R",1192644,"R",424358,"R",2634188,"R",7171533,"R",3354395,"R",1061564,"R",181737,"R",275688,"R",98093,"R",2200056,"R",10022531,"R",315916,"R",105023,"R",1372377,"R",2081840,"R",740745,"R",5406630,"R",2988269,"R",16087,"Z",0,"Z",0,"Z",0,"Z",0,"R",2972182,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",-3812856,"Z",0,"Z",0,"R",3812856,"R",-792220,"R",0,"R",0,"R",0,"R",0,"R",0,"R",-792220,"R",45603744,"R",14823361,"R",4130403,"Z",0,"R",5783947,"R",2058002,"R",18808031,"R",129660245,"R",105999224,1
101073,"R",3714457,"R",16950115,"R",402393,"R",10541160,"R",6006562,"R",16547722,"R",39303,"R",8592010,"R",323802,"Z",0,"R",5911785,"R",5197887,"R",0,"R",713898,"R",15833824,"R",0,"R",16547722,"R",2348571,"R",72173,"R",15100,"Z",0,"R",2532167,"Z",0,"R",4968011,"R",2532167,"Z",0,"R",2252620,"Z",0,"Z",0,"Z",0,"R",1830111,"Z",0,"Z",0,"R",645626,"Z",0,"R",86936,"Z",0,"Z",0,"Z",0,"Z",0,"R",1096492,"R",5911785,"R",2164841,"R",1592127,"R",530709,"Z",0,"R",42005,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",299868,"R",196261,"R",65421,"Z",0,"R",38186,"Z",0,"R",0,"R",233154,"R",174866,"R",58288,"Z",0,"Z",0,"Z",0,"R",0,"R",1250040,"R",906057,"R",301978,"Z",0,"R",42005,"Z",0,"R",0,"R",1249984,"R",717328,"R",272992,"Z",0,"R",259664,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5197887,"R",3586639,"R",1229388,"Z",0,"R",381860,"Z",0,"R",0,"Z",0,"Z",0,1
101189,"R",11135629,"R",47637737,"R",17202155,"R",21125809,"R",9309773,"R",30435582,"R",1219381,"R",28606788,"R",11830704,"R",0,"R",22256355,"R",21960365,"R",0,"R",295990,"R",30139592,"R",0,"R",30435582,"R",3964947,"R",466972,"R",911873,"Z",0,"R",182822,"R",2044315,"R",7570929,"R",3219437,"R",289869,"R",15372310,"R",0,"R",0,"R",0,"R",2077435,"R",0,"R",0,"R",2428219,"R",548,"R",366456,"R",0,"R",1411147,"R",0,"R",0,"R",600240,"R",22256355,"R",9212019,"R",5665861,"R",798855,"R",821737,"R",777790,"R",317382,"R",830394,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",2132126,"R",613219,"R",108067,"R",181323,"R",171625,"R",70033,"R",987859,"R",4518611,"R",1678817,"R",290532,"R",333710,"R",315863,"R",128890,"R",1770799,"R",3916483,"R",1724087,"R",302221,"R",123454,"R",116851,"R",47682,"R",1602188,"R",2181126,"R",116348,"R",18235,"R",468738,"R",443669,"R",181042,"R",953094,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",-1928962,"Z",0,"Z",0,"R",1928962,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",21960365,"R",9798332,"R",1517910,"Z",0,"R",1825798,"R",745029,"R",8073296,"R",13142822,"R",12930080,1
101435,"R",33428951,"R",62184545,"R",25949324,"R",19143,"R",36216078,"R",36235221,"R",1040546,"R",22522648,"R",10546614,"R",0,"R",9656630,"R",13021025,"R",0,"R",-3364395,"R",39599616,"R",0,"R",36235221,"R",475103,"R",186610,"R",220050,"R",0,"R",1710150,"R",1628312,"R",4220225,"R",4220225,"R",0,"R",3800218,"R",0,"R",0,"R",0,"R",751479,"R",0,"R",0,"R",2521483,"R",0,"R",641124,"R",0,"R",1942326,"R",0,"R",0,"R",0,"R",9656630,"R",4581598,"R",2376502,"R",570360,"R",363343,"R",368741,"R",334281,"R",568371,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",768222,"R",421108,"R",80076,"R",90836,"R",92185,"R",83570,"R",447,"R",3289979,"R",1276673,"R",243322,"R",193026,"R",195894,"R",177587,"R",1203477,"R",1993221,"R",1162362,"R",239918,"R",56772,"R",57616,"R",52231,"R",424322,"R",2388005,"Z",0,"Z",0,"R",431470,"R",437880,"R",396959,"R",1121696,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",-1135447,"Z",0,"Z",0,"R",1135447,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",13021025,"R",5236645,"R",1133676,"Z",0,"R",1152316,"R",1044628,"R",4453760,"A",,"A",,2
101453,"R",4473251,"R",7498094,"R",2132666,"R",1314415,"R",4051013,"R",5365428,"R",1037145,"R",1466451,"R",1848000,"Z",0,"R",2399290,"R",2403430,"R",0,"R",-4140,"R",5369568,"R",0,"R",5365428,"R",161854,"R",16259,"R",0,"R",0,"R",140869,"R",42325,"R",361307,"R",42325,"R",0,"R",627565,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",1574086,"R",45560,"R",49111,"R",8490,"R",94478,"Z",0,"Z",0,"R",0,"R",2399290,"R",549976,"R",482994,"Z",0,"R",41916,"Z",0,"Z",0,"R",25066,"R",10662,"Z",0,"Z",0,"R",741,"Z",0,"Z",0,"R",9921,"R",32048,"Z",0,"Z",0,"R",2443,"Z",0,"Z",0,"R",29605,"R",109205,"R",78819,"R",5883,"R",8323,"Z",0,"Z",0,"R",16180,"R",217708,"R",158764,"Z",0,"R",16592,"Z",0,"Z",0,"R",42352,"R",1263035,"R",421799,"R",219981,"R",235935,"Z",0,"R",70771,"R",314549,"R",79927,"R",16492,"Z",0,"R",10391,"Z",0,"Z",0,"R",53044,"R",140869,"Z",0,"Z",0,"R",18313,"Z",0,"Z",0,"R",122556,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",-334654,"R",161134,"Z",0,"R",173520,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2403430,"R",1158868,"R",225864,"Z",0,"R",161134,"R",70771,"R",786793,"R",3009295,"R",3028035,1
101541,"R",3960382,"R",30469225,"R",10873475,"R",268068,"R",19327682,"R",19595750,"R",667125,"R",11589588,"R",4179775,"Z",0,"R",11593039,"R",7515950,"R",0,"R",4077089,"R",15518661,"R",0,"R",19595750,"R",384317,"R",23235,"Z",0,"Z",0,"R",743791,"R",637197,"R",1788540,"Z",0,"Z",0,"R",2626045,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",4554608,"Z",0,"R",629769,"Z",0,"R",1534393,"Z",0,"Z",0,"R",2248224,"R",11593039,"R",3068444,"R",1064300,"R",233431,"Z",0,"R",417921,"R",170200,"R",1182592,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",442690,"R",207991,"R",77810,"Z",0,"Z",0,"Z",0,"R",156889,"R",1035980,"R",454524,"R",207196,"Z",0,"R",125858,"R",122544,"R",125858,"R",1943435,"R",581379,"R",77810,"Z",0,"Z",0,"R",122544,"R",1161702,"R",1025401,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1025401,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7515950,"R",2308194,"R",596247,"Z",0,"R",543779,"R",415288,"R",3652442,"R",13681462,"R",18795845,1
101648,"R",554514,"R",14417424,"R",3443027,"R",9719478,"R",1254919,"R",10974397,"R",10319136,"Z",0,"R",1970512,"Z",0,"R",5771583,"R",6242332,"R",231786,"R",-238963,"R",11213366,"R",-6,"R",10974397,"R",171660,"R",29988,"R",17500,"Z",0,"R",121816,"R",690963,"R",1031927,"R",1031927,"Z",0,"R",3839953,"Z",0,"R",421546,"Z",0,"Z",0,"Z",0,"Z",0,"R",268066,"Z",0,"R",14531,"Z",0,"R",777890,"Z",0,"R",449597,"R",0,"R",5771583,"R",965893,"R",695544,"R",67694,"R",173530,"Z",0,"Z",0,"R",29125,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",228601,"R",122520,"R",11924,"R",41070,"Z",0,"Z",0,"R",53087,"R",1783323,"R",722079,"R",70277,"R",320387,"Z",0,"Z",0,"R",670580,"R",987971,"R",448288,"R",43630,"R",177496,"Z",0,"Z",0,"R",318557,"R",908421,"R",132590,"R",12904,"R",163204,"Z",0,"Z",0,"R",599723,"R",690963,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",690963,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",677160,"Z",0,"Z",0,"R",121657,"Z",0,"Z",0,"R",555503,"Z",0,"R",222425,"R",21649,"R",-997344,"Z",0,"Z",0,"R",753270,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6242332,"R",2343446,"R",228078,"Z",0,"Z",0,"Z",0,"R",3670808,"A",,"A",,2
101675,"R",10873018,"R",32847715,"R",4882358,"R",20342847,"R",7622510,"R",27965357,"R",1656018,"R",24646924,"R",10312796,"R",0,"R",22529760,"R",20421086,"R",0,"R",2108674,"R",25856683,"R",0,"R",27965357,"R",4833066,"R",447801,"R",805400,"Z",0,"R",274052,"R",897543,"R",7257862,"R",18738,"R",2774625,"R",10082339,"Z",0,"Z",0,"Z",0,"R",6045135,"Z",0,"Z",0,"R",2264819,"Z",0,"R",178783,"Z",0,"R",3635540,"Z",0,"Z",0,"R",323144,"R",22529760,"R",6827967,"R",3600632,"R",504089,"Z",0,"Z",0,"Z",0,"R",2723246,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",315560,"R",80187,"R",11226,"Z",0,"Z",0,"Z",0,"R",224147,"R",865476,"R",390448,"R",54663,"Z",0,"Z",0,"Z",0,"R",420365,"R",1217105,"R",591418,"R",82799,"Z",0,"Z",0,"Z",0,"R",542888,"R",4748286,"R",572366,"R",80132,"Z",0,"Z",0,"Z",0,"R",4095788,"R",3324377,"R",471710,"R",66039,"Z",0,"Z",0,"Z",0,"R",2786628,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",3122315,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3122315,"R",20421086,"R",5706761,"R",798948,"Z",0,"Z",0,"Z",0,"R",13915377,"R",2346442,"R",2346442,1
101693,"R",7936557,"R",27943463,"R",9258577,"R",7608066,"R",11076820,"R",18684886,"R",812038,"R",19894736,"R",7506868,"R",0,"R",18261439,"R",16864284,"R",0,"R",1397155,"R",17287731,"R",0,"R",18684886,"R",2350692,"R",238746,"R",353325,"R",0,"R",634590,"R",3479603,"R",7056956,"R",4274655,"R",0,"R",10637783,"R",0,"R",0,"R",0,"R",238746,"R",0,"R",0,"R",4603373,"R",0,"R",366893,"R",0,"R",2257803,"R",0,"R",0,"R",156841,"R",18261439,"R",7785400,"R",4788253,"R",1383482,"R",682736,"R",337934,"R",202139,"R",390856,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",827708,"R",327551,"R",94560,"R",133340,"R",65999,"R",39478,"R",166780,"R",1253175,"R",691653,"R",214014,"R",57253,"R",28338,"R",16951,"R",244966,"R",3383004,"R",1547611,"R",407734,"R",205138,"R",101537,"R",60736,"R",1060248,"R",3614997,"R",748365,"R",206399,"R",786422,"R",389157,"R",232839,"R",1251815,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"R",-1864889,"Z",0,"Z",0,"R",1864889,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",16864284,"R",8103433,"R",2306189,"Z",0,"R",922965,"R",552143,"R",4979554,"R",7439790,"R",7875905,1
